title,rt_audience_score,rt_freshness,rt_score,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,worldwide_gross,year
Tootsie,3.4,88,7.7,"Romance
Comedy",Romance,Comedy,,7.4,116,2,PG,17-Dec-82,Columbia Pictures,"$177,200,000.00 ",1982
Arthur,3.3,90,7.2,"Romance
Comedy",Romance,Comedy,,6.9,97,4,PG,17-Jul-81,Orion Pictures / Warner Bros.,"$95,461,682.00 ",1981
Chariots of Fire,3.6,84,7.7,"Sport
History
Drama",Sport,History,Drama,7.2,119,7,PG,9-Apr-82,Warner Bros. / Ladd,"$58,972,904.00 ",1981
For Your Eyes Only,3.3,73,6.3,"Thriller
Adventure
Action",Thriller,Adventure,Action,6.8,127,8,PG,26-Jun-81,United Artists,"$54,812,802.00 ",1981
On Golden Pond,3.7,92,7.6,Drama,Drama,,,7.7,109,2,PG,12-Feb-82,Universal Pictures / ITC,"$119,285,432.00 ",1981
Raiders of the Lost Ark,4,95,9.1,"Adventure
Action",Adventure,Action,,8.6,115,1,PG,12-Jun-81,Paramount Pictures / Lucasfilm,"$212,222,025.00 ",1981
Stripes,3.5,88,6.6,"War
Comedy",War,Comedy,,6.9,106,5,R,26-Jun-81,Columbia Pictures,"$85,297,000.00 ",1981
Superman II,3.2,89,7.5,"Sci-Fi
Romance
Action",Sci-Fi,Romance,Action,6.8,127,3,PG,19-Jun-81,Warner Bros.,"$108,185,706.00 ",1981
The Cannonball Run,3.1,31,4.2,"Comedy
Action",Comedy,Action,,6.1,95,6,PG,19-Jun-81,20th Century Fox / Golden Harvest,"$72,179,579.00 ",1981
The Four Seasons,3.5,75,6.1,"Drama
Comedy",Drama,Comedy,,7.2,107,9,PG,22-May-81,Universal Pictures,"$50,427,646.00 ",1981
Time Bandits,3.5,91,7.9,"Fantasy
Comedy
Adventure",Fantasy,Comedy,Adventure,7,110,10,PG,6-Nov-81,Embassy Pictures,"$42,365,581.00 ",1981
9 to 5,3.2,82,6.8,Comedy,Comedy,,,6.6,110,2,PG,19-Dec-80,20th Century-Fox,"$103,290,500.00 ",1980
Airplane!,3.6,96,8.3,Comedy,Comedy,,,7.8,88,4,PG,2-Jul-80,Paramount Pictures,"$83,453,539.00 ",1980
Any Which Way You Can,3.1,20,4.9,"Comedy
Action",Comedy,Action,,6,116,5,PG,17-Dec-80,Warner Bros. Pictures,"$70,687,344.00 ",1980
Coal Miner's Daughter,3.6,100,8.3,"Music
Drama
Biography",Music,Drama,Biography,7.5,124,7,PG,7-Mar-80,Universal Studios,"$67,182,787.00 ",1980
Private Benjamin,3,88,6.8,"War
Comedy",War,Comedy,,6,109,6,R,10-Oct-80,Warner Bros.,"$69,847,348.00 ",1980
Smokey and the Bandit II,2.8,20,4,"Crime
Comedy
Action",Crime,Comedy,Action,5.1,100,8,PG,15-Aug-80,Universal Studios,"$66,132,626.00 ",1980
Star Wars Episode V: The Empire Strikes Back,4.1,96,8.7,"Adventure
Action
Fantasy",Adventure,Action,Fantasy,8.8,124,1,PG,20-Jun-80,20th Century Fox,"$209,398,025.00 ",1980
Stir Crazy,3.4,67,6.1,"Crime
Comedy",Crime,Comedy,,6.8,111,3,R,12-Dec-80,Columbia Pictures,"$101,300,000.00 ",1980
The Blue Lagoon,2.9,11,2.7,"Romance
Drama
Adventure",Romance,Drama,Adventure,5.7,104,9,R,2-Jul-80,Columbia Pictures,"$58,853,106.00 ",1980
The Blues Brothers,3.7,87,7.1,"Crime
Comedy
Action",Crime,Comedy,Action,8,133,10,R,20-Jun-80,Universal Studios,"$57,229,890.00 ",1980
10,2.9,71,6.4,"Romance
Comedy",Romance,Comedy,,6,122,7,R,5-Oct-79,Warner Bros. Pictures,"$74,865,517.00 ",1979
Alien,3.9,97,8.9,"Sci-Fi
Horror",Sci-Fi,Horror,,8.5,117,6,R,22-Jun-79,20th Century Fox Film Corporation,"$80,931,801.00 ",1979
Apocalypse Now,4.1,99,8.9,"War
Drama",War,Drama,,8.5,153,4,R,15-Aug-79,United Artists Pictures,"$83,471,511.00 ",1979
Kramer vs. Kramer,3.7,88,7.8,Drama,Drama,,,7.8,105,1,PG-13,19-Dec-79,Columbia Pictures,"$106,260,000.00 ",1979
Moonraker,3,62,5.7,"Crime
Adventure
Action",Crime,Adventure,Action,6.2,126,9,PG,29-Jun-79,United Artists Pictures,"$70,308,099.00 ",1979
Rocky II,3.4,72,6.4,"Sport
Drama
Action",Sport,Drama,Action,7.1,119,3,PG,15-Jun-79,United Artists Pictures,"$85,182,160.00 ",1979
Star Trek: The Motion Picture,3.1,45,5.7,"Sci-Fi
Mystery
Adventure",Sci-Fi,Mystery,Adventure,6.4,132,5,PG,7-Dec-79,Paramount Pictures,"$82,258,456.00 ",1979
The Amityville Horror,3.3,24,4.4,"Horror
Drama",Horror,Drama,,6.2,117,2,R,27-Jul-79,American International Pictures,"$86,432,520.00 ",1979
The Jerk,3.6,84,6.6,Comedy,Comedy,,,7.2,94,8,R,14-Dec-79,Universal Studios,"$73,691,419.00 ",1979
The Muppet Movie,3.5,89,7.8,"Family
Comedy
Adventure",Family,Comedy,Adventure,7.7,95,10,G,22-Jun-79,Associated Film Distribution,"$65,200,000.00 ",1979
Dawn of the Dead,3.6,95,8.6,"Horror
Drama",Horror,Drama,,8,127,8,R,24-May-79,United Film Distribution Company,"$59,020,957.00 ",1978
Every Which Way but Loose,3.1,31,4.5,"Comedy
Action",Comedy,Action,,6.2,114,4,PG,20-Dec-78,Warner Bros.,"$85,196,485.00 ",1978
Grease,3.7,79,6.6,"Romance
Musical",Romance,Musical,,7.2,110,1,PG-13,16-Jun-78,Paramount Pictures,"$159,978,870.00 ",1978
Heaven Can Wait,3.3,88,7.1,"Sport
Romance
Comedy",Sport,Romance,Comedy,6.9,101,5,PG,28-Jun-78,Paramount Pictures,"$81,640,278.00 ",1978
Hooper,3.1,63,5.3,"Comedy
Action",Comedy,Action,,6.2,99,6,PG,28-Jul-78,Warner Bros.,"$78,000,000.00 ",1978
Jaws 2,2.8,53,5.3,"Thriller
Horror",Thriller,Horror,,5.7,116,7,PG,16-Jun-78,Universal Pictures,"$77,737,272.00 ",1978
National Lampoon's Animal House,3.7,91,7.7,Comedy,Comedy,,,7.6,109,3,R,28-Jul-78,Universal Pictures,"$120,091,123.00 ",1978
Revenge of the Pink Panther,3.3,82,6.6,"Mystery
Comedy
Crime",Mystery,Comedy,Crime,6.7,99,9,PG,19-Jul-78,United Artists,"$49,579,269.00 ",1978
Superman,3.5,93,8,"Sci-Fi
Drama
Action",Sci-Fi,Drama,Action,7.3,143,2,PG,15-Dec-78,Warner Bros.,"$134,218,018.00 ",1978
The Deer Hunter,4.1,93,8.6,"War
Drama",War,Drama,,8.2,182,10,R,23-Feb-79,Universal Pictures,"$48,979,328.00 ",1978
A Bridge Too Far,3.7,73,6.8,"War
History
Drama",War,History,Drama,7.4,175,7,PG,15-Jun-77,United Artists,"$50,750,000.00 ",1977
Annie Hall,3.9,98,8.9,"Romance
Drama
Comedy",Romance,Drama,Comedy,8.1,93,10,PG,20-Apr-77,United Artists,"$38,251,425.00 ",1977
Close Encounters of the Third Kind,3.7,96,8.8,"Sci-Fi
Drama",Sci-Fi,Drama,,7.7,137,3,PG,25-Dec-77,Columbia Pictures,"$116,395,460.00 ",1977
"Oh, God!",3.2,71,6.1,"Fantasy
Comedy",Fantasy,Comedy,,6.5,98,6,PG,7-Oct-77,Warner Bros.,"$51,061,196.00 ",1977
Saturday Night Fever,3.2,90,7.5,"Romance
Music
Drama",Romance,Music,Drama,6.8,118,5,R,16-Dec-77,Paramount Pictures,"$94,213,184.00 ",1977
Smokey and the Bandit,3.4,81,6.3,"Romance
Comedy
Action",Romance,Comedy,Action,6.8,96,2,PG,27-May-77,Universal Pictures,"$126,737,428.00 ",1977
Star Wars,4.1,93,8.3,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,8.7,121,1,PG,25-May-77,Lucasfilm / 20th Century Fox,"$307,263,857.00 ",1977
The Deep,2.9,36,4.7,"Thriller
Mystery
Adventure",Thriller,Mystery,Adventure,6.1,123,8,PG,17-Jun-77,Columbia Pictures,"$47,346,365.00 ",1977
The Goodbye Girl,3.8,87,6.5,"Romance
Drama
Comedy",Romance,Drama,Comedy,7.4,111,4,PG,1-Feb-78,Metro-Goldwyn-Mayer / Warner Bros. / Rastar,"$102,000,000.00 ",1977
The Spy Who Loved Me,3.4,78,6.8,"Thriller
Adventure
Action",Thriller,Adventure,Action,7.1,125,9,PG,3-Aug-77,United Artists,"$46,838,673.00 ",1977
A Star Is Born,3.5,31,5.3,"Romance
Music
Drama",Romance,Music,Drama,6.5,139,3,R,17-Dec-76,Warner Bros. Pictures,"$80,000,000.00 ",1976
All the President's Men,3.9,98,9.1,"Thriller
Drama",Thriller,Drama,,8,138,4,R,9-Apr-76,Warner Bros. Pictures,"$70,600,000.00 ",1976
In Search of Noah's Ark,1.7,0,0,"Family
Documentary",Family,Documentary,,4.6,99,6,G,11-Feb-77,Sunn Classic Pictures,"$55,700,000.00 ",1976
King Kong,2.8,46,4.7,"Horror
Fantasy
Adventure",Horror,Fantasy,Adventure,5.8,134,7,PG,17-Dec-76,Paramount Pictures,"$52,614,445.00 ",1976
Midway,3.6,54,5.9,"History
Drama
Action",History,Drama,Action,6.7,132,10,PG,18-Jun-76,Universal Studios / Cinema International Corporation,"$43,220,000.00 ",1976
Rocky,3.2,92,8.3,"Sport
Drama",Sport,Drama,,8.1,119,1,PG,3-Dec-76,United Artists Pictures,"$117,235,147.00 ",1976
Silver Streak,3.4,88,6.5,"Crime
Comedy
Action",Crime,Comedy,Action,6.9,114,8,PG,3-Dec-76,20th Century-Fox Film Corporation,"$51,079,064.00 ",1976
The Enforcer,3.4,78,6.3,"Thriller
Crime
Action",Thriller,Crime,Action,6.8,96,9,R,22-Dec-76,Warner Bros. Pictures,"$46,236,000.00 ",1976
The Omen,3.5,86,7.1,"Mystery
Horror
Drama",Mystery,Horror,Drama,7.6,111,5,R,25-Jun-76,20th Century Fox Film Corporation,"$60,922,980.00 ",1976
To Fly!,4,0,0,"History
Documentary",History,Documentary,,7,27,2,G,19-Jun-81,National Air and Space Museum,"$86,600,000.00 ",1976
"Aloha, Bobby and Rose",3.6,0,0,Drama,Drama,,,6,88,9,PG,29-Apr-75,Columbia Pictures,"$35,000,000.00 ",1975
Dog Day Afternoon,4,97,8.5,"Drama
Crime",Drama,Crime,,8.1,125,4,R,21-Sep-75,Warner Bros.,"$50,000,000.00 ",1975
Funny Lady,3.2,38,4.6,"Musical
Drama
Comedy",Musical,Drama,Comedy,6.4,136,7,PG,15-Mar-75,Columbia Pictures,"$39,000,000.00 ",1975
Shampoo,3.2,63,6.2,"Romance
Drama",Romance,Drama,,6.3,109,5,R,13-Mar-75,Columbia Pictures,"$49,407,734.00 ",1975
The Apple Dumpling Gang,3.2,56,6.2,"Western
Family
Comedy",Western,Family,Comedy,6.2,100,8,G,1-Jul-75,Walt Disney Productions,"$36,853,000.00 ",1975
The Other Side of the Mountain,3.6,0,0,"Drama
Western
War",Drama,Western,War,6.4,103,10,PG,20-Dec-75,Universal Pictures,"$34,673,100.00 ",1975
The Return of the Pink Panther,3.4,89,6.7,"Mystery
Crime
Comedy",Mystery,Crime,Comedy,7.1,113,6,G,21-May-75,United Artists,"$41,833,347.00 ",1975
,,,,,,,,,,,,,,,
Signs,3.2,74,6.8,"Thriller
Sci-Fi
Drama",Thriller,Sci-Fi,Drama,6.7,106,7,PG-13,2-Aug-02,Touchstone,"$408,247,917.00 ",2002
