title,rt_audience_score,rt_freshness,rt_score,genres,Genre_1,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,worldwide_gross,year
True Lies,3.2,72,6.6,"Thriller
Comedy
Action",Thriller,Comedy,Action,7.2,141,3,R,15-Jul-94,20th Century Fox,"$378,882,411.00 ",1994
Cliffhanger,2.8,69,6.2,"Thriller
Adventure
Action",Thriller,Adventure,Action,6.3,112,7,R,28-May-93,TriStar Pictures / Carolco Pictures,"$255,000,211.00 ",1993
Indecent Proposal,2.9,37,4.6,"Romance
Drama",Romance,Drama,,5.8,117,6,R,7-Apr-93,Paramount Pictures,"$266,614,059.00 ",1993
Jurassic Park,3.6,93,8.3,"Thriller
Sci-Fi
Adventure",Thriller,Sci-Fi,Adventure,8,127,1,PG-13,11-Jun-93,Universal Pictures / Amblin Entertainment,"$914,691,118.00 ",1993
Mrs. Doubtfire,3.4,71,5.8,"Family
Drama
Comedy",Family,Drama,Comedy,6.9,125,2,PG-13,24-Nov-93,20th Century Fox,"$441,286,195.00 ",1993
Philadelphia,3.7,78,6.6,Drama,Drama,,,7.7,125,9,PG-13,14-Jan-94,TriStar Pictures,"$206,678,440.00 ",1993
Schindler's List,4.3,96,9,"History
Drama
Biography",History,Drama,Biography,8.9,195,4,R,4-Feb-94,Universal Pictures / Amblin Entertainment,"$321,306,305.00 ",1993
Sleepless in Seattle,3.3,72,6.5,"Romance
Drama
Comedy",Romance,Drama,Comedy,6.8,105,8,PG,25-Jun-93,TriStar Pictures,"$227,799,884.00 ",1993
The Firm,3.2,75,6.2,"Thriller
Mystery
Drama",Thriller,Mystery,Drama,6.8,154,5,R,30-Jun-93,Paramount Pictures,"$270,248,367.00 ",1993
The Fugitive,3.6,96,7.9,"Crime
Adventure
Action",Crime,Adventure,Action,7.8,130,3,PG-13,6-Aug-93,Warner Bros.,"$368,875,760.00 ",1993
The Pelican Brief,3.2,52,5.5,"Drama
Crime
Action",Drama,Crime,Action,6.5,141,10,PG-13,17-Dec-93,Warner Bros.,"$195,268,056.00 ",1993
A Few Good Men,3.6,81,7,"Thriller
Drama",Thriller,Drama,,7.6,138,7,R,11-Dec-92,Columbia Pictures / Castle Rock Entertainment,"$243,240,178.00 ",1992
Aladdin,3.7,94,8.1,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,8,90,1,G,25-Nov-92,Walt Disney Pictures,"$504,050,219.00 ",1992
Basic Instinct,3.1,54,5.9,"Thriller
Mystery
Drama",Thriller,Mystery,Drama,6.9,127,4,R,20-Mar-92,TriStar Pictures / Carolco Pictures,"$352,927,224.00 ",1992
Batman Returns,3.3,80,6.7,Action,Action,,,7,126,6,PG-13,19-Jun-92,Warner Bros. / PolyGram,"$266,822,354.00 ",1992
Bram Stoker's Dracula,3.6,79,6.5,"Romance
Horror",Romance,Horror,,7.5,128,9,R,13-Nov-92,Columbia Pictures,"$215,862,692.00 ",1992
Home Alone 2: Lost in New York,3,24,3.6,"Family
Comedy
Adventure",Family,Comedy,Adventure,6.5,120,3,PG,20-Nov-92,20th Century Fox,"$358,994,850.00 ",1992
Lethal Weapon 3,3.2,56,5.5,"Thriller
Crime
Action",Thriller,Crime,Action,6.7,118,5,R,15-May-92,Warner Bros.,"$321,731,527.00 ",1992
Sister Act,3.1,71,5.7,"Music
Comedy",Music,Comedy,,6.2,100,8,PG,29-May-92,Touchstone Pictures,"$231,605,150.00 ",1992
The Bodyguard,3,32,4.8,"Music
Drama
Action",Music,Drama,Action,6.1,129,2,R,25-Nov-92,Warner Bros.,"$411,006,740.00 ",1992
Wayne's World,3.4,85,6.8,"Music
Comedy",Music,Comedy,,7,94,10,PG-13,14-Feb-92,Paramount Pictures,"$183,097,323.00 ",1992
Beauty and the Beast,3.7,93,8.4,"Fantasy
Family
Animation",Fantasy,Family,Animation,8,84,3,G,22-Nov-91,Walt Disney Pictures,"$351,863,363.00 ",1991
Cape Fear,3.5,76,7.1,"Thriller
Crime",Thriller,Crime,,7.3,128,8,R,15-Nov-91,Universal Pictures,"$182,291,969.00 ",1991
City Slickers,3.1,90,7,"Western
Comedy",Western,Comedy,,6.7,113,10,PG-13,7-Jun-91,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,"$179,033,791.00 ",1991
Hook,3.3,30,4.4,"Family
Comedy
Adventure",Family,Comedy,Adventure,6.7,142,4,PG,11-Dec-91,TriStar Pictures / Amblin Entertainment,"$300,854,823.00 ",1991
Hot Shots!,3,83,6.5,Comedy,Comedy,,,6.7,84,9,PG-13,31-Jul-91,20th Century Fox,"$181,096,164.00 ",1991
JFK,3.8,85,7.7,"Thriller
History
Drama",Thriller,History,Drama,8,189,6,R,20-Dec-91,Warner Bros.,"$205,405,498.00 ",1991
Robin Hood: Prince of Thieves,3.4,50,5.7,"Drama
Adventure
Action",Drama,Adventure,Action,6.9,143,2,PG-13,14-Jun-91,Warner Bros.,"$390,493,908.00 ",1991
Terminator 2: Judgment Day,3.7,92,8.3,"Sci-Fi
Action",Sci-Fi,Action,,8.5,137,1,R,3-Jul-91,TriStar Pictures / Carolco Pictures / Lightstorm Entertainment,"$519,843,345.00 ",1991
The Addams Family,3.2,60,5.6,"Fantasy
Comedy",Fantasy,Comedy,,6.8,99,7,PG-13,22-Nov-91,Paramount Pictures / Orion Pictures,"$191,502,426.00 ",1991
